,SO2,NO2,CO,O3,PM10,PM2.5,CO_model,NO2_model,SO2_model,O3_model,PM2.5_model,PM10_model
2021-10-16 14:00:00,0.3,5.4,170.0,68.5,2.0,-1.0,283.9999694824219,2.9609372615814213,1.3124998807907104,74.49999237060547,0.5546874403953552,0.8710936903953552
2021-10-16 15:00:00,0.5,8.1,170.0,62.7,3.0,-2.0,287.9999694824219,3.3046872615814213,1.3437498807907104,73.74999237060547,0.6445311903953552,1.0351561307907104
2021-10-16 16:00:00,0.2,4.8,160.0,68.3,4.0,-3.0,290.9999694824219,3.3437497615814213,1.4765623807907104,73.74999237060547,0.8261718153953552,1.3789061307907104
2021-10-16 17:00:00,0.5,4.9,170.0,69.2,4.0,-3.0,293.9999694824219,3.1718747615814213,1.5234373807907104,74.49999237060547,0.9042968153953552,1.5585936307907104
2021-10-16 18:00:00,0.4,6.2,190.0,66.9,4.0,-3.0,293.9999694824219,2.9999997615814213,1.5351561307907104,75.99999237060547,0.8749999403953552,1.5312498807907104
2021-10-16 19:00:00,0.4,7.6,200.0,63.8,4.0,-3.0,297.9999694824219,3.1328122615814213,1.6562498807907104,75.99999237060547,0.9374999403953552,1.6562498807907104
2021-10-16 20:00:00,-0.2,11.3,200.0,61.0,4.0,-3.0,293.9999694824219,3.3906247615814213,1.7304686307907104,74.49999237060547,0.8710936903953552,1.5624998807907104
2021-10-16 21:00:00,0.2,14.0,210.0,58.5,4.0,-3.0,283.9999694824219,3.3906247615814213,1.6992186307907104,72.99999237060547,0.5605468153953552,1.0312498807907104
2021-10-16 22:00:00,-0.2,8.5,200.0,62.9,4.0,-3.0,280.99996948242193,3.2187497615814213,1.6874998807907104,71.74999237060547,0.5019530653953552,0.8867186903953552
2021-10-16 23:00:00,0.1,9.4,220.0,54.3,4.0,-3.0,280.99996948242193,3.1328122615814213,1.6992186307907104,70.99999237060547,0.5019530653953552,0.8515624403953552
2021-10-17 00:00:00,0.2,8.7,190.0,55.2,3.5,-2.0,280.99996948242193,3.1718747615814213,1.7460936307907104,70.24999237060547,0.5019530653953552,0.8398436903953552
2021-10-17 01:00:00,-0.0,5.6,170.0,61.2,3.0,-1.0,287.9999694824219,2.9609372615814213,1.4765623807907104,65.24999237060547,0.5019530653953552,0.7128905653953552
2021-10-17 02:00:00,0.2,4.3,160.0,69.9,3.0,-1.0,287.9999694824219,2.8749997615814213,1.4179686307907104,65.99999237060547,0.5019530653953552,0.6972655653953552
2021-10-17 03:00:00,0.2,5.9,170.0,61.8,2.5,-1.0,287.9999694824219,2.8281247615814213,1.3710936307907104,67.99999237060547,0.5019530653953552,0.7226561903953552
2021-10-17 04:00:00,0.1,4.4,160.0,63.3,2.0,-1.0,293.9999694824219,3.1718747615814213,1.4492186307907104,69.49999237060547,0.7656249403953552,1.1757811307907104
2021-10-17 05:00:00,0.2,1.5,150.0,75.7,2.0,-1.0,297.9999694824219,3.648437261581421,1.4765623807907104,70.99999237060547,0.9335936903953552,1.4531248807907104
2021-10-17 06:00:00,0.3,1.1,150.0,78.1,3.0,1.0,297.9999694824219,3.5624997615814213,1.4765623807907104,71.74999237060547,0.9296874403953552,1.4492186307907104
2021-10-17 07:00:00,0.2,1.9,150.0,74.3,2.0,0.0,293.9999694824219,3.2187497615814213,1.5234373807907104,72.24999237060547,0.8730468153953552,1.3984373807907104
2021-10-17 08:00:00,0.4,1.3,160.0,74.6,2.0,0.0,290.9999694824219,2.656249761581421,1.4335936307907104,74.49999237060547,0.6425780653953552,1.0585936307907104
2021-10-17 09:00:00,0.4,2.6,160.0,74.9,2.5,0.0,287.9999694824219,2.101562261581421,1.2695311307907104,72.24999237060547,0.5019530653953552,0.8085936903953552
2021-10-17 10:00:00,0.3,4.3,160.0,71.3,3.0,0.0,290.9999694824219,1.4570311307907104,0.9550780653953552,69.49999237060547,0.5019530653953552,0.7285155653953552
2021-10-17 11:00:00,0.2,2.9,160.0,74.1,3.0,0.0,293.9999694824219,1.3203123807907104,0.8652343153953552,64.49999237060547,0.5019530653953552,0.7148436903953552
2021-10-17 12:00:00,0.2,2.7,170.0,73.6,3.5,1.5,290.9999694824219,1.2968748807907104,0.8281249403953552,65.99999237060547,0.5019530653953552,0.7089843153953552
2021-10-17 13:00:00,0.4,3.3,160.0,73.9,4.0,3.0,290.9999694824219,1.4140623807907104,0.8359374403953552,65.24999237060547,0.5019530653953552,0.7265624403953552
2021-10-17 14:00:00,0.3,3.7,160.0,72.7,4.0,3.0,293.9999694824219,1.8671873807907104,0.9394530653953552,63.74999618530274,0.5019530653953552,0.7597655653953552
2021-10-17 15:00:00,0.3,3.0,160.0,74.2,4.0,3.0,297.9999694824219,2.296874761581421,1.0585936307907104,62.99999618530274,0.5019530653953552,0.8144530653953552
2021-10-17 16:00:00,0.3,4.0,160.0,73.3,4.0,3.0,300.9999694824219,2.382812261581421,1.1953123807907104,63.74999618530274,0.5332030653953552,0.9257811903953552
2021-10-17 17:00:00,0.2,4.5,160.0,71.5,4.0,3.0,303.9999694824219,2.335937261581421,1.2539061307907104,63.74999618530274,0.5937499403953552,1.0273436307907104
2021-10-17 18:00:00,0.4,7.0,170.0,68.4,3.5,1.0,300.9999694824219,2.320312261581421,1.2851561307907104,63.74999618530274,0.5820311903953552,0.9999999403953552
2021-10-17 19:00:00,0.4,9.6,190.0,64.6,3.0,-1.0,303.9999694824219,2.507812261581421,1.3867186307907104,64.49999237060547,0.6425780653953552,1.0820311307907104
2021-10-17 20:00:00,0.6,7.1,180.0,67.7,3.0,-1.0,300.9999694824219,2.656249761581421,1.4492186307907104,65.99999237060547,0.6054686903953552,1.0195311307907104
2021-10-17 21:00:00,0.3,4.6,160.0,70.2,4.0,0.0,297.9999694824219,2.617187261581421,1.4492186307907104,67.24999237060547,0.5019530653953552,0.7832030653953552
2021-10-17 22:00:00,0.3,3.3,170.0,72.0,5.0,1.0,297.9999694824219,2.9609372615814213,1.7148436307907104,66.74999237060547,0.5019530653953552,0.8320311903953552
2021-10-17 23:00:00,0.4,2.1,180.0,74.5,5.0,1.0,300.9999694824219,3.2578122615814213,1.9374998807907104,65.99999237060547,0.5859374403953552,0.9687499403953552
2021-10-18 00:00:00,0.2,2.4,170.0,73.2,5.0,2.0,300.9999694824219,3.5156247615814213,2.117187261581421,65.24999237060547,0.6699218153953552,1.1015623807907104
2021-10-18 01:00:00,0.3,2.6,160.0,70.7,5.0,3.0,293.9999694824219,3.3437497615814213,1.8515623807907104,62.99999618530274,0.6816405653953552,1.3164061307907104
2021-10-18 02:00:00,0.4,0.1,150.0,74.3,5.0,3.0,293.9999694824219,3.3906247615814213,1.8632811307907104,62.99999618530274,0.6757811903953552,1.2890623807907104
2021-10-18 03:00:00,0.4,0.3,160.0,73.5,4.0,2.0,297.9999694824219,3.5624997615814213,1.9374998807907104,63.74999618530274,0.7792968153953552,1.4414061307907104
2021-10-18 04:00:00,0.3,0.8,160.0,71.2,3.0,1.0,313.9999694824219,4.499999523162842,2.210937261581421,63.74999618530274,1.4140623807907104,2.445312261581421
2021-10-18 05:00:00,0.3,1.8,160.0,67.4,3.0,1.0,323.9999694824219,5.453124523162842,2.328124761581421,62.99999618530274,1.7929686307907104,3.0624997615814213
2021-10-18 06:00:00,0.3,1.9,190.0,65.1,2.5,0.5,323.9999694824219,5.453124523162842,2.328124761581421,63.74999618530274,1.7929686307907104,3.0703122615814213
2021-10-18 07:00:00,0.4,3.3,170.0,61.9,2.0,0.0,323.9999694824219,4.843749523162842,2.414062261581421,64.49999237060547,1.6796873807907104,2.8828122615814213
2021-10-18 08:00:00,0.5,9.0,180.0,55.5,2.0,0.0,313.9999694824219,3.945312261581421,2.414062261581421,64.49999237060547,1.3124998807907104,2.281249761581421
2021-10-18 09:00:00,0.6,15.6,210.0,49.9,2.0,0.5,303.9999694824219,3.3046872615814213,2.265624761581421,63.74999618530274,0.9511718153953552,1.6796873807907104
2021-10-18 10:00:00,0.5,16.7,210.0,47.8,2.0,1.0,300.9999694824219,2.703124761581421,1.8203123807907104,65.24999237060547,0.7167968153953552,1.2695311307907104
2021-10-18 11:00:00,0.7,13.7,200.0,51.3,2.0,1.0,300.9999694824219,2.9140622615814213,1.8945311307907104,65.24999237060547,0.7695311903953552,1.3124998807907104
2021-10-18 12:00:00,0.8,13.6,190.0,52.1,4.5,1.0,300.9999694824219,3.2578122615814213,1.9999998807907104,65.24999237060547,0.8437499403953552,1.3945311307907104
